seed,depth,task,auc,average_precision,iou_top7,centroid_error,relative_residual
17,2,32,0.9998790883259778,0.9977369985530853,0.7083333333333334,0.011632410809397697,4.979976654052734
17,2,33,0.9980839935787893,0.9809478967246816,0.8333333333333334,0.015128623694181442,5.4130706787109375
17,2,34,0.9986280487804878,0.9711414984307293,0.5555555555555556,0.02075696550309658,4.321023464202881
17,2,35,0.9985053912672147,0.9616240536794707,0.5277777777777778,0.017056558281183243,4.100864410400391
17,2,36,0.9991690408357075,0.9853193424014306,0.7222222222222222,0.01145852543413639,4.860315322875977
17,2,37,0.999332264957265,0.992929767796656,0.797752808988764,0.01248863898217678,5.007909774780273
17,2,38,0.9981983263399947,0.9672453576160707,0.5972222222222222,0.012524700723588467,4.195335865020752
17,2,39,0.9965034965034965,0.9657365293172704,0.8292682926829268,0.005444523878395557,4.716320514678955
17,2,40,0.9975542774237007,0.9815728694710871,0.6857142857142857,0.021790366619825363,3.9979100227355957
17,2,41,0.9978029949738328,0.9823206562146668,0.6857142857142857,0.010694952681660652,4.1306562423706055
17,2,42,0.9989484752891693,0.986957059195078,0.8589743589743589,0.010536277666687965,5.557088375091553
17,2,43,0.9991016282987086,0.988757427893781,0.8266666666666667,0.015083624981343746,5.2087721824646
17,2,44,0.998980632008155,0.9795101643365687,0.5972222222222222,0.01643892005085945,4.227393627166748
17,2,45,0.999025974025974,0.9794578828368059,0.6111111111111112,0.005453134886920452,4.153074264526367
17,2,46,0.9990888975660549,0.9773539647506034,0.5416666666666666,0.00422690249979496,4.601168632507324
17,2,47,0.9967149303317301,0.9696347784104662,0.7954545454545454,0.004386425483971834,4.380227088928223
17,2,48,0.9995309128436064,0.9920965885202808,0.7638888888888888,0.011481856927275658,5.025763511657715
17,2,49,0.9970367597747937,0.9719669475006739,0.8289473684210527,0.023246554657816887,5.639275550842285
17,2,50,0.9980969395681218,0.9801270522337936,0.8117647058823529,0.010370412841439247,5.025827407836914
17,2,51,0.998001638001638,0.9834024371146227,0.7272727272727273,0.01770416833460331,4.136523246765137
17,2,52,0.9994664634146342,0.9884589397089397,0.5555555555555556,0.0026319115422666073,4.436035633087158
17,2,53,0.9996278192690371,0.9917193173536881,0.5694444444444444,0.008295819163322449,4.119534969329834
17,2,54,0.9986139279854055,0.9886422798404761,0.6728971962616822,0.004223347175866365,3.5463004112243652
17,2,55,0.9975211575211576,0.9799896759877874,0.7272727272727273,0.019975798204541206,4.136745452880859
17,2,56,0.9966538213634306,0.966552738607151,0.7951807228915663,0.022451527416706085,5.006707191467285
17,2,57,0.9983845338983051,0.9838611433260533,0.8313253012048193,0.005287176929414272,5.288224220275879
17,2,58,0.9992736352286914,0.9850787176777648,0.625,0.006158230826258659,4.4372382164001465
17,2,59,0.9994559197870315,0.9906797823624159,0.7361111111111112,0.006773772649466991,5.096792221069336
17,2,60,0.9988480342910723,0.9872808765229051,0.8641975308641975,0.0075162844732403755,5.261498928070068
17,2,61,0.9980164852117953,0.9843224704682881,0.7346938775510204,0.019155506044626236,3.66552996635437
17,2,62,0.9979768177028451,0.9784385191830746,0.8375,0.016877425834536552,5.053398132324219
17,2,63,0.999549676329862,0.9919574945257272,0.7638888888888888,0.00410392927005887,5.065631866455078
