architecture,affine_depth,width,rank_ratio,grid_size,target_kind,powerlaw_alpha,powerlaw_max_frequency,optimizer,learning_rate,steps,record_every,seed,bias_scale,tag,rank,stable,elapsed_seconds,final_loss,final_parameter_displacement,final_feature_displacement,t50_1,final_relative_error_1,t50_4,final_relative_error_4,t50_8,final_relative_error_8,t50_16,final_relative_error_16,t50_2,final_relative_error_2,t50_3,final_relative_error_3,t50_5,final_relative_error_5,t50_6,final_relative_error_6,t50_7,final_relative_error_7,t50_9,final_relative_error_9,t50_10,final_relative_error_10,t50_11,final_relative_error_11,t50_12,final_relative_error_12,t50_13,final_relative_error_13,t50_14,final_relative_error_14,t50_15,final_relative_error_15,t50_17,final_relative_error_17,t50_18,final_relative_error_18,t50_19,final_relative_error_19,t50_20,final_relative_error_20,t50_21,final_relative_error_21,t50_22,final_relative_error_22,t50_23,final_relative_error_23,t50_24,final_relative_error_24
fc,5,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,2500,25,3,0.1,hierarchy_fc_d5_mup_gd_s3,128,True,3.219080741982907,0.013511443510651588,0.30068057775497437,5.789157390594482,25.0,0.021207332611083984,225.0,0.02026609274057238,500.0,0.11645922395918107,2500.0,0.4981750349203745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,5,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,2500,25,4,0.1,hierarchy_fc_d5_mup_gd_s4,128,True,3.120245489059016,0.01724560186266899,0.2897423505783081,5.2654876708984375,25.0,0.015460729598999023,225.0,0.03146441166217514,500.0,0.15398240089416507,,0.5009046792984009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,5,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,2500,25,5,0.1,hierarchy_fc_d5_mup_gd_s5,128,True,3.1106900699669495,0.016347043216228485,0.27758488059043884,5.137856960296631,25.0,0.017949581146240234,225.0,0.022889522405771075,450.0,0.17594234148661297,,0.5473042130470276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,5,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,2500,25,6,0.1,hierarchy_fc_d5_mup_gd_s6,128,True,3.111535673029721,0.013997470960021019,0.29986605048179626,6.3278045654296875,25.0,0.017955780029296875,200.0,0.0022876629462609266,525.0,0.1324599583943685,,0.5175189276536306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,5,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,2500,25,7,0.1,hierarchy_fc_d5_mup_gd_s7,128,True,3.1304143839515746,0.01398542895913124,0.2862645387649536,5.332810878753662,25.0,0.0046950578689575195,225.0,0.006602874168982838,500.0,0.15942099359300405,,0.5214292407035828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,7,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,2500,25,0,0.1,hierarchy_fc_d7_mup_gd_s0,128,True,4.466240360983647,0.006947149522602558,0.23520982265472412,11.107749938964844,25.0,0.01961207389831543,200.0,0.01439740107609679,425.0,0.03836886088053388,1750.0,0.3139898280302683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,7,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,2500,25,1,0.1,hierarchy_fc_d7_mup_gd_s1,128,True,4.485578207997605,0.007231703959405422,0.23487386107444763,11.080924034118652,25.0,0.013451337814331055,175.0,0.03468619860135588,400.0,0.03483092784881594,1975.0,0.3309735755125681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,7,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,2500,25,2,0.1,hierarchy_fc_d7_mup_gd_s2,128,True,4.406265376950614,0.02014559507369995,0.2305820733308792,10.510910987854004,25.0,0.00833439826965332,225.0,0.023754046513484107,400.0,0.049477444754706515,2200.0,0.42197903990745544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,7,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,2500,25,3,0.1,hierarchy_fc_d7_mup_gd_s3,128,True,4.313144815037958,0.006290743593126535,0.24340052902698517,11.81335163116455,25.0,0.08083605766296387,200.0,0.12722039222717282,425.0,0.05398600631290014,1775.0,0.20371929804484046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,7,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,2500,25,4,0.1,hierarchy_fc_d7_mup_gd_s4,128,True,4.476570575032383,0.01499120518565178,0.22439581155776978,10.641389846801758,25.0,0.04110908508300781,225.0,0.016073483687180774,400.0,0.09024371041191952,2100.0,0.4379069407780965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
