method,depth,context_size,average_precision_mean_candidate,physical_mean_relative_residual_mean_candidate,physical_covariance_relative_residual_mean_candidate,average_precision_mean_cg,physical_mean_relative_residual_mean_cg,physical_covariance_relative_residual_mean_cg,physical_mean_residual_gain,physical_covariance_residual_gain,average_precision_delta,runtime_ratio
hybrid-PCG,2,48,0.7667524292674986,4.462583243846893,0.42630471839081674,0.7571191531656583,2.5010548553296497,0.26859933661208263,0.5604500171012291,0.6300641888881066,0.009633276101840393,1.3707550370944643
hybrid-PCG,4,48,0.7939740212167272,3.313089303317524,0.2314646963828376,0.7844620342076849,2.6254804152108373,0.24702349098931461,0.7924568808277648,1.0672188668493234,0.009511987009042322,1.3502356722861721
hybrid-PCG,8,48,0.8043695373173596,2.6037375341568674,0.07750932231456746,0.8142471260311653,2.2456445282413844,0.19577074560913296,0.8624696225261279,2.5257703172091714,-0.00987758871380573,1.323084997103515
hybrid-PCG,16,48,0.8065638591772338,1.4360667334071227,0.03959700406440307,0.7985377448721693,2.106192607609999,0.09754536003761344,1.4666397867270258,2.4634530400067516,0.008026114305064502,1.2811574119884561
hybrid-PCG,32,48,0.8048292345843344,0.6301697079934889,0.014499375764335944,0.8015683249352973,1.0670319030150062,0.03003508476762185,1.6932453107156191,2.0714743348813007,0.003260909649037136,1.2627618046349751
hybrid-PCG,48,48,0.8035245364454927,0.24962334586251966,0.005276849971951762,0.8029770672325139,0.48481600044206496,0.013828544621078605,1.9421901375726207,2.6206059854993007,0.0005474692129787684,1.2208142046224257
hybrid-PCG,64,48,0.8038032448170286,0.09311042791679414,0.0019250685494127502,0.8036881397746491,0.20064748166173338,0.005678658325840407,2.154941032394751,2.9498473327470363,0.00011510504237943753,1.1983247782739312
hybrid-PCG,96,48,0.8036908478236562,0.004422430058119539,0.00013862435997950002,0.8036538432051279,0.0355957557677313,0.0010073409915396744,8.04891322190112,7.266695346248246,3.700461852829129e-05,1.1614187991242098
hybrid-PCG,128,48,0.8036908478236562,0.00036678620998434027,7.969377187626897e-06,0.8036832747157409,0.006205112786292754,0.00018205736455994927,16.91751929975142,22.844616370098286,7.573107915326283e-06,1.1440602108331221
looped-Chebyshev,1,8,0.036598466383931764,0.9612563593047005,0.49170626291916486,0.5656997010094273,1.2381074212136722,0.38707485812760534,1.288009602463618,0.7872075003267538,-0.5291012346254956,8.895513862037502
looped-Chebyshev,2,8,0.05086662332920152,0.7633923758708295,0.32932863517531324,0.600870004880463,1.3231133399974733,0.20413176380541348,1.7332021930244583,0.6198421333654965,-0.5500033815512615,7.998700533224062
looped-Chebyshev,4,8,0.2011348128190986,0.6058126311926615,0.23099978676154495,0.5504411838055219,1.109096999235806,0.08778004268450393,1.8307591194530395,0.3800005355637708,-0.34930637098642325,7.312909906914879
looped-Chebyshev,8,8,0.41354112635803114,0.45746919317614465,0.11229268559032958,0.5106198362163429,0.2027311883089697,0.011143811187101437,0.44315812153696166,0.099238976506063,-0.09707870985831174,5.8718648851727355
looped-Chebyshev,16,8,0.5660471020738973,0.3214746908329072,0.0547860768967352,0.5113357206754252,2.4677841805172696e-05,3.4759990110816694e-06,7.676449346987472e-05,6.34467588842597e-05,0.05471138139847209,3.6790527291122985
looped-Chebyshev,32,8,0.5321234989345452,0.17579629610935665,0.019994252488859658,0.5113357206754252,1.931244261280945e-05,8.74677335174635e-07,0.0001098569369220149,4.374643841583902e-05,0.020787778259120038,2.8512013972691195
looped-Chebyshev,48,8,0.5201909041997508,0.10529317899393689,0.008950478124981034,0.5113357206754252,1.932939015738285e-05,1.124750887981918e-06,0.0001835768502962181,0.00012566377709395289,0.008855183524325572,2.4945661639852066
