seed,method,network_width,parameter_count,context_size,context_measurements,depth,batch_size,inference_ms,peak_memory_mib,matvec_proxy
43,looped-HB,512,990211,8,64,32,8,5.000339451362379,551.60888671875,1622016
43,looped-HB,512,990211,12,144,32,8,5.118495898204856,553.57763671875,3667968
43,looped-HB,512,990211,16,256,32,8,5.156653048470616,555.5673828125,6553600
43,looped-HB,512,990211,24,576,32,8,5.485805697389878,560.39404296875,14893056
43,looped-HB,512,990211,32,1024,32,8,5.815500600147061,564.7138671875,26738688
43,looped-HB,512,990211,48,2304,32,8,10.179416049504653,573.2158203125,61341696
17,looped-Chebyshev,64,66435,8,64,32,8,6.03778520016931,536.83935546875,1622016
17,looped-Chebyshev,64,66435,12,144,32,8,6.231754901818931,538.80810546875,3667968
17,looped-Chebyshev,64,66435,16,256,32,8,6.258347249240615,540.7978515625,6553600
17,looped-Chebyshev,64,66435,24,576,32,8,6.563715697848238,545.69482421875,14893056
17,looped-Chebyshev,64,66435,32,1024,32,8,6.811549549456686,550.7880859375,26738688
17,looped-Chebyshev,64,66435,48,2304,32,8,11.322635947726669,557.7822265625,61341696
29,looped-Chebyshev,64,66435,8,64,32,8,6.011601147474721,542.40625,1622016
29,looped-Chebyshev,64,66435,12,144,32,8,6.2230519484728575,544.375,3667968
29,looped-Chebyshev,64,66435,16,256,32,8,6.266312749357894,546.36474609375,6553600
29,looped-Chebyshev,64,66435,24,576,32,8,6.577904502046295,551.2265625,14893056
29,looped-Chebyshev,64,66435,32,1024,32,8,6.918783800210804,555.51123046875,26738688
29,looped-Chebyshev,64,66435,48,2304,32,8,11.223097550100649,563.72021484375,61341696
43,looped-Chebyshev,64,66435,8,64,32,8,6.0168235504534096,536.83935546875,1622016
43,looped-Chebyshev,64,66435,12,144,32,8,6.19364895101171,538.80810546875,3667968
43,looped-Chebyshev,64,66435,16,256,32,8,6.259035848779604,540.7978515625,6553600
43,looped-Chebyshev,64,66435,24,576,32,8,6.5500549506396055,545.69482421875,14893056
