method,scenario,category,n_tasks,average_precision_mean,average_precision_ci95,auc_mean,auc_ci95,area_matched_iou_mean,area_matched_iou_ci95,score_correlation_mean,score_correlation_ci95,mean_relative_residual_mean,mean_relative_residual_ci95,covariance_relative_residual_mean,covariance_relative_residual_ci95,balanced_brier_mean,balanced_brier_ci95,balanced_nll_mean,balanced_nll_ci95,balanced_ece_mean,balanced_ece_ci95,uncertainty_error_auc_mean,uncertainty_error_auc_ci95,certificate_mean,certificate_ci95,boundary_residual_mean,boundary_residual_ci95
learned-HB,six obstacles,OOD count,4,0.7344039898271133,0.05846874428305472,0.9641586327932261,0.016558898911389036,0.5021212788875833,0.06694676680510703,0.9906441913420853,0.0017683197286641908,0.253539863973856,0.015819384942500746,0.11760854907333851,0.019883345368882265,0.12612998113036156,0.0013659013748679666,0.8430348485708237,0.08059294243623154,0.13036271929740906,0.0028368884077020367,0.9196868614883367,0.018590805718155703,0.0,0.0,2.0142741732342984e-06,1.5482818019796387e-06
learned-HB,three stars,OOD shape,4,0.8229855784642635,0.06370139009657913,0.9901409899618344,0.002237190370783472,0.6101190476190477,0.06517689604282928,0.9858918602347528,0.004168047931968966,0.300584614276886,0.017528390490708378,0.11727620474994183,0.01092584180925129,0.055650174617767334,0.0027199137618368822,0.39514511823654175,0.030726108803192664,0.05922377295792103,0.0030675706365763536,0.9512346613858018,0.017477389470518544,0.0,0.0,1.6486026481743465e-06,1.0959589711027883e-07
learned-HB,two obstacles,ID,4,0.9022340462570637,0.0336622243148435,0.9972878728690242,0.0014012383271672984,0.6664833822091886,0.058672165107636676,0.9613239296680742,0.008269014876296487,0.4931415095925331,0.008443571670915072,0.13277869671583176,0.02942977265338493,0.016628074692562222,0.0016844156925268723,0.09163922816514969,0.00772692919104278,0.01856898656114936,0.0016888173689013721,0.9804911104983153,0.006064728100721228,0.0,0.0,1.4980280980125826e-06,2.6369704452573316e-07
learned-HB,wavenumber 12,OOD frequency,4,0.8990569248045335,0.061237490111618546,0.9956850724894797,0.00301204044170811,0.6589936379410064,0.09383007783650726,0.9861242569364502,0.004232174476017468,0.3202277272939682,0.02964107025007546,0.1330728605389595,0.015757196350089254,0.02597333723679185,0.009098455654090051,0.16767984628677368,0.09544133922399091,0.028680830728262663,0.009147855569791084,0.9744628001350637,0.008550463237181867,0.0,0.0,1.018519107276461e-06,5.595857229668522e-07
learned-Richardson,180 degree aperture,OOD aperture,4,0.20381318618490202,0.04578738177630971,0.6932477186378029,0.054572433925124765,0.16770037382254133,0.017135412434934594,-0.08501261492929624,0.0471989990585983,0.5871186256408691,0.007182050823016123,0.08199696987867355,0.002754923810160034,0.23177801072597504,0.010600188805914318,0.6592870205640793,0.019257627248905538,0.1868341565132141,0.02264732076203099,0.5788739933100452,0.10527061238085295,0.5,0.5658032638058332,1.3170625265956915e-06,3.8641475421787404e-07
learned-Richardson,30 percent noise,OOD noise,4,0.7140918076267162,0.0859474558962945,0.9809076493356752,0.005579444621394914,0.488551314913536,0.11388600475629729,0.5003976891930437,0.07872876669921895,0.4615664929151535,0.00668255252441265,0.0951699074357748,0.001710624172229198,0.24479303136467934,0.008423871757617966,0.6727530062198639,0.023772551850707084,0.31773828715085983,0.007683771239186216,0.3871692551946134,0.024359421078289645,1.0,0.0,1.2494849386257556e-06,2.0196030773425082e-07
learned-Richardson,four obstacles,ID,4,0.6772282001253178,0.09934552405564581,0.9499593430049516,0.01405750309813071,0.4532312925170068,0.12284814474246919,0.0145371039385212,0.07225606394095606,0.5098142772912979,0.004853969401520853,0.07054153457283974,0.00266720963938819,0.21103233471512794,0.01510562803457244,0.5949363261461258,0.03855348279126098,0.26928016543388367,0.01633942747945871,0.4326759365923599,0.02883565273445575,0.75,0.49,1.4382549409219791e-06,6.403140519886888e-07
learned-Richardson,one obstacle,ID,4,0.12238393788771404,0.11249095072962896,0.7376274672783607,0.05868003649042531,0.043154761904761904,0.05782066383799711,-0.529546809017367,0.024868342727735068,0.8294726759195328,0.009627032725641933,0.11651540547609329,0.042110361822087945,0.2169819362461567,0.012433895261441789,0.6176688373088837,0.02457153798149668,0.18199346959590912,0.04609920441070521,0.7966154290176752,0.032378780003953035,1.0,0.0,5.962436411266481e-07,5.266706471587227e-07
learned-Richardson,six obstacles,OOD count,4,0.42699089485945385,0.0776929355673402,0.8564017040412412,0.04590700743156151,0.32607313195548493,0.02951138168006274,0.15967748954085775,0.05428469123362895,0.4200269281864166,0.008240914241719088,0.06702879071235657,0.0013460697638730966,0.2648879513144493,0.00601530228153949,0.7445778399705887,0.01542513480974886,0.29302459210157394,0.02454065558550195,0.35030998498040167,0.011863158225173842,1.0,0.0,2.0142741732342984e-06,1.5482818019796387e-06
learned-Richardson,three stars,OOD shape,4,0.6506057216524136,0.11394909996412253,0.9479591385559901,0.02303812930983423,0.42039815023685995,0.09546939011197063,-0.0155652762559578,0.05283619878057021,0.5642374455928802,0.006839304790691964,0.07282181642949581,0.0015279989524961976,0.22618261724710464,0.007597291829935977,0.6295828074216843,0.019688158221878485,0.3116620108485222,0.011381587505287541,0.431078544757278,0.06977640910748363,1.0,0.0,1.6486026481743465e-06,1.0959589711027883e-07
