name,class,factor,rank,N,bs,L,final_test_error,output_even_defect,last_layer_active_even_mean,mirror_distance_median,mirror_mismatch_median,mirror_corr_median
rank5_f2_N256_bs4_L2,intermediate,2,5,256,4,2,0.0028116018511354923,0.0010953745804727077,0.08645927160978317,0.029647477324581596,0.9242840345970467,0.08303266995728448
rank5_f2_N256_bs2_L3,intermediate,2,5,256,2,3,0.003328805323690176,0.0006429846980609,0.00031872032559476793,0.030073436117875003,0.7738675057067661,0.23710700976657811
rank5_f2_N512_bs16_L2,intermediate,2,5,512,16,2,0.003720182692632079,0.00030694337328895926,0.011734030209481716,0.029647477324581596,0.8252848808232027,0.19294451102988514
rank5_f2_N256_bs1_L2,intermediate,2,5,256,1,2,0.0038688809145241976,7.444887887686491e-05,0.0007901947828941047,0.029647477324581596,1.0956669371487329,-0.10553849838228874
rank5_f2_N256_bs1_L1,intermediate,2,5,256,1,1,0.0040258560329675674,0.00040139423799701035,0.0006290693418122828,0.03161361325278559,0.5687209330949197,0.45520181251029423
rank5_f2_N512_bs8_L1,intermediate,2,5,512,8,1,0.004462546668946743,0.0014624639879912138,0.0018914226675406098,0.03161361325278559,0.5861605124693277,0.4396391921654571
rank5_f2_N256_bs2_L1,intermediate,2,5,256,2,1,0.004623443819582462,0.0006368490285240114,0.17316453158855438,0.03161361325278559,0.6691447189455677,0.344259542174921
rank5_f2_N256_bs4_L3,intermediate,2,5,256,4,3,0.006292553152889013,0.0011722438503056765,0.0006858633714728057,0.030073436117875003,0.8183482081480308,0.19186675246981874
rank5_f2_N512_bs4_L1,intermediate,2,5,512,4,1,0.009936552494764328,0.0013102752855047584,2.6260368824005127,0.03161361325278559,0.8388084515123687,0.17286680597111137
rank5_f2_N512_bs16_L4,underfit,2,5,512,16,4,0.01002674549818039,0.00044753128895536065,0.00033530176733620465,0.029614108333207274,0.9307530687966366,0.07214409153359228
rank5_f2_N256_bs4_L1,underfit,2,5,256,4,1,0.05356748402118683,0.0035645165480673313,2.6815860271453857,0.03161361325278559,0.8829030431961458,0.13131747558768514
rank5_f2_N128_bs2_L1,underfit,2,5,128,2,1,0.2984168827533722,0.0036021179985255003,1.2491446733474731,0.03161361325278559,0.861898392075767,0.1531948555292752
rank5_f2_N128_bs1_L2,underfit,2,5,128,1,2,0.41113442182540894,0.013607009314000607,0.012058612890541553,0.029647477324581596,0.9463215757555474,0.05548544461098235
rank5_f3_N768_bs4_L4,partial-symmetric,3,5,768,4,4,0.0005259740282781422,0.00010230689804302529,0.00018183275824412704,0.029614108333207274,0.8033455742618426,0.21051012533298671
rank5_f3_N768_bs4_L3,intermediate,3,5,768,4,3,0.0010721753351390362,9.746942669153214e-05,0.0009723310358822346,0.030073436117875003,0.6823228089543443,0.34053635958269807
rank5_f3_N768_bs8_L3,intermediate,3,5,768,8,3,0.0015991920372471213,0.0004721515579149127,0.00024272936570923775,0.030073436117875003,0.593735306111816,0.4352145949191664
rank5_f3_N384_bs2_L2,intermediate,3,5,384,2,2,0.001954760868102312,0.00011248281225562096,0.0008597145788371563,0.029647477324581596,0.9591228227869081,0.04350065657259655
rank5_f3_N768_bs1_L3,intermediate,3,5,768,1,3,0.0027908487245440483,0.0012782124103978276,0.00011188004282303154,0.030073436117875003,0.7374090988628841,0.2861385481010433
rank5_f3_N768_bs2_L2,intermediate,3,5,768,2,2,0.002855949103832245,6.545068754348904e-05,0.0015452351653948426,0.029647477324581596,1.0213842659571015,-0.025284420269692888
rank5_f3_N768_bs2_L1,intermediate,3,5,768,2,1,0.0032084090635180473,0.0006177379982545972,0.015367734245955944,0.03161361325278559,0.484815848462962,0.5580717781810286
rank5_f3_N768_bs8_L2,intermediate,3,5,768,8,2,0.0033852579072117805,0.00012072693061782047,0.009035998024046421,0.029647477324581596,0.9312795468133598,0.07398021670002652
rank5_f3_N768_bs4_L2,intermediate,3,5,768,4,2,0.0035975275095552206,0.00010684531298466027,0.00824595708400011,0.029647477324581596,0.8429255653969286,0.1683388160367757
rank5_f3_N768_bs2_L3,intermediate,3,5,768,2,3,0.003781470935791731,0.0005351376603357494,0.00011703694326570258,0.030073436117875003,0.6705552082524531,0.3589467956510335
rank5_f3_N768_bs1_L2,intermediate,3,5,768,1,2,0.004850808065384626,0.00014034021296538413,0.000772957515437156,0.029647477324581596,0.9841615038037589,0.01718296985718317
rank5_f3_N768_bs1_L1,intermediate,3,5,768,1,1,0.00856728758662939,0.0006354434881359339,0.03320927917957306,0.03161361325278559,0.49927064937351073,0.5476717961242012
rank5_f4_N1024_bs4_L3,intermediate,4,5,1024,4,3,0.0015903136227279902,0.000268103729467839,0.00012358433741610497,0.030073436117875003,0.6289754566873611,0.4036806670402763
rank5_f4_N1024_bs2_L3,intermediate,4,5,1024,2,3,0.0059412503615021706,0.0013149022124707699,4.054631426697597e-05,0.030073436117875003,0.6587083511199281,0.37452777600844794
rank5_f5_N1280_bs4_L3,intermediate,5,5,1280,4,3,0.003262016922235489,0.0007988938596099615,6.243507232284173e-05,0.030073436117875003,0.5721396605112874,0.4619201871034366
rank10_f1_N256_bs2_L2,output-only/asymmetric,1,10,256,2,2,1.6420257452409714e-05,1.203063948196359e-05,0.26745861768722534,0.029647477324581596,0.8931847188804578,0.1079325373558148
rank10_f1_N128_bs1_L2,output-only/asymmetric,1,10,128,1,2,3.870451473630965e-05,2.1804036805406213e-05,0.11671402305364609,0.029647477324581596,0.9088470562224098,0.09187570480756604
rank10_f1_N256_bs1_L2,output-only/asymmetric,1,10,256,1,2,3.940178794437088e-05,2.2280953999143094e-05,0.09571880847215652,0.029647477324581596,0.9251120743884966,0.07813648867275765
rank10_f1_N256_bs4_L2,output-only/asymmetric,1,10,256,4,2,5.140923894941807e-05,5.56523009436205e-05,0.3980964124202728,0.029647477324581596,0.8747407039961772,0.13011977659356277
rank10_f1_N256_bs2_L1,output-only/asymmetric,1,10,256,2,1,0.00011708173406077549,7.236247620312497e-05,2.168994903564453,0.03161361325278559,0.8874473460158796,0.11387745984768174
rank10_f1_N128_bs2_L2,output-only/asymmetric,1,10,128,2,2,0.00013120837684255093,8.36079052533023e-05,0.1039927750825882,0.029647477324581596,0.8870179779390805,0.11544916345450205
rank10_f1_N256_bs8_L2,output-only/asymmetric,1,10,256,8,2,0.0002225452772108838,0.00011153230298077688,0.2755291759967804,0.029647477324581596,0.9075159173933234,0.09316483150062867
rank10_f1_N256_bs1_L1,output-only/asymmetric,1,10,256,1,1,0.0003227384004276246,0.0002136968105332926,1.916479468345642,0.03161361325278559,0.9681099873902118,0.03260836094691254
rank10_f1_N128_bs4_L2,output-only/asymmetric,1,10,128,4,2,0.00032755531719885767,8.332324796356261e-05,0.5972996950149536,0.029647477324581596,0.9117683296597476,0.09060225777618652
rank10_f1_N64_bs1_L2,output-only/asymmetric,1,10,64,1,2,0.0004565752169582993,8.831251761876047e-05,0.32669225335121155,0.029647477324581596,0.9133874705402598,0.09110740955282015
rank10_f1_N256_bs4_L1,output-only/asymmetric,1,10,256,4,1,0.0005023793200962245,0.00017746932280715555,1.4970649480819702,0.03161361325278559,0.8876662391092486,0.11366756164947035
rank10_f1_N16_bs16_L2,output-only/asymmetric,1,10,16,16,2,0.0005179004510864615,0.000396223011193797,0.5446835160255432,0.029647477324581596,0.9075796748748657,0.09440768251603368
rank10_f1_N128_bs2_L1,output-only/asymmetric,1,10,128,2,1,0.0008050678297877312,0.00019998932839371264,1.5737746953964233,0.03161361325278559,0.8832679920191406,0.11801126899941412
rank10_f1_N64_bs2_L2,intermediate,1,10,64,2,2,0.0010852182749658823,0.0004033173026982695,0.23948204517364502,0.029647477324581596,0.9200544451560746,0.08187549181712858
rank10_f1_N128_bs1_L1,intermediate,1,10,128,1,1,0.001299598952755332,3.285360071458854e-05,2.865241289138794,0.03161361325278559,0.9400761066517541,0.06082739794350779
rank10_f1_N256_bs16_L2,intermediate,1,10,256,16,2,0.0013202469563111663,0.0005001326208002865,0.6747771501541138,0.029647477324581596,0.9289006247869955,0.07389881485659373
rank10_f1_N128_bs8_L2,intermediate,1,10,128,8,2,0.001653072307817638,0.0005592138622887433,0.8449456095695496,0.029647477324581596,0.9222183306207049,0.0791304364157137
rank10_f1_N256_bs8_L1,intermediate,1,10,256,8,1,0.0017230298835784197,0.0005605265032500029,1.930572271347046,0.03161361325278559,0.9071072297112031,0.0948620388792628
rank10_f1_N64_bs1_L1,intermediate,1,10,64,1,1,0.002112393034622073,0.00015284774417523295,1.7207587957382202,0.03161361325278559,0.926288247896109,0.07532358040615741
rank10_f1_N64_bs4_L2,intermediate,1,10,64,4,2,0.002550802193582058,0.0024398399982601404,0.6664003133773804,0.029647477324581596,0.9328254100030963,0.0679864459840194
rank10_f1_N256_bs16_L1,intermediate,1,10,256,16,1,0.0025553202722221613,0.0008865411509759724,1.369969367980957,0.03161361325278559,0.9121332121161592,0.09214886168131575
rank10_f1_N128_bs4_L1,intermediate,1,10,128,4,1,0.0026414766907691956,0.0015733432956039906,1.9815925359725952,0.03161361325278559,0.9050430144833156,0.09932683194056968
rank10_f1_N32_bs1_L1,intermediate,1,10,32,1,1,0.002672548172995448,0.0002290405536768958,2.375338315963745,0.03161361325278559,0.9224346467525033,0.0800575057730214
rank10_f1_N128_bs16_L2,intermediate,1,10,128,16,2,0.0029193030204623938,0.0010070278076454997,0.6501465439796448,0.029647477324581596,0.9312811381422647,0.07004099669510294
rank10_f1_N128_bs8_L1,intermediate,1,10,128,8,1,0.002971773501485586,0.0007198087405413389,1.2998082637786865,0.03161361325278559,0.9124722278194095,0.09214886168131575
rank10_f1_N64_bs2_L1,intermediate,1,10,64,2,1,0.0035161515697836876,0.0011972973588854074,2.1477084159851074,0.03161361325278559,0.9130382859743439,0.09049051633486396
rank10_f1_N32_bs2_L1,intermediate,1,10,32,2,1,0.003732777666300535,0.0019530784338712692,2.6398422718048096,0.03161361325278559,0.9144057894941331,0.08883217098841217
rank10_f1_N64_bs4_L1,intermediate,1,10,64,4,1,0.003937923349440098,0.0015298048965632915,2.300476551055908,0.03161361325278559,0.9068663166265083,0.09488294109913883
rank10_f1_N128_bs16_L1,intermediate,1,10,128,16,1,0.0042624324560165405,0.0010778403375297785,1.5235023498535156,0.03161361325278559,0.9130382859743439,0.08883217098841217
rank10_f1_N64_bs8_L1,intermediate,1,10,64,8,1,0.0049745673313736916,0.0008739728946238756,0.9457331895828247,0.03161361325278559,0.9123230830918644,0.09214886168131575
