tag,parameterization,seed,width,rank,rank_ratio,gamma,frequency,lambda_initial,lambda_plateau,saddle_index,dynamic_amplification,scaled_bv_proxy
spectrum_muP_s1,muP,1,256,64,0.25,1.0,17,8.511535270372406e-05,6.701264646835625e-05,14922.556453164487,0.7873156174494034,0.019366654829354957
spectrum_muP_s1,muP,1,256,64,0.25,1.0,18,6.533721170853823e-05,7.002656639087945e-05,14280.294630156879,1.0717715764067173,0.022688607510644943
spectrum_muP_s1,muP,1,256,64,0.25,1.0,19,6.40722646494396e-05,7.663379074074328e-05,13049.073918097829,1.1960524754358521,0.027664798457408324
spectrum_muP_s1,muP,1,256,64,0.25,1.0,20,5.855590643477626e-05,5.7158209529006854e-05,17495.299594584332,0.9761305564055052,0.02286328381160274
spectrum_muP_s1,muP,1,256,64,0.25,1.0,21,6.035489423084073e-05,5.560419231187552e-05,17984.255474679874,0.9212872132491015,0.024521448809537105
spectrum_muP_s1,muP,1,256,64,0.25,1.0,22,5.3694599046139047e-05,4.205212462693453e-05,23780.01132811959,0.7831723371432516,0.02035322831943631
spectrum_muP_s1,muP,1,256,64,0.25,1.0,23,5.504097862285562e-05,4.191818879917264e-05,23855.992557095822,0.7615814589053513,0.022174721874762326
spectrum_muP_s1,muP,1,256,64,0.25,1.0,24,4.801664181286469e-05,3.505712084006518e-05,28524.875290304666,0.7301035540280667,0.020192901603877544
spectrum_muP_s1,muP,1,256,64,0.25,1.0,25,4.990063825971447e-05,3.786309025599621e-05,26410.945151040185,0.7587696585950013,0.023664431409997633
spectrum_muP_s1,muP,1,256,64,0.25,1.0,26,4.167014776612632e-05,3.382545037311502e-05,29563.538370351314,0.8117429907606841,0.022866004452225752
spectrum_muP_s1,muP,1,256,64,0.25,1.0,27,3.146575909340754e-05,2.8739947083522566e-05,34794.77526850871,0.9133721197765076,0.02095142142388795
spectrum_muP_s1,muP,1,256,64,0.25,1.0,28,3.2436328183393925e-05,2.9770169930998236e-05,33590.671545302415,0.9178033272656103,0.023339813225902617
spectrum_muP_s1,muP,1,256,64,0.25,1.0,29,3.17263366014231e-05,2.1235480744508095e-05,47090.998882077074,0.669332895609371,0.017859039306131308
spectrum_muP_s1,muP,1,256,64,0.25,1.0,30,3.448300049058162e-05,2.33118626056239e-05,42896.61520906329,0.6760392736702566,0.02098067634506151
spectrum_muP_s1,muP,1,256,64,0.25,1.0,31,3.3261596399825066e-05,2.236400541733019e-05,44714.709254411355,0.672367169287395,0.021491809206054313
spectrum_muP_s1,muP,1,256,64,0.25,1.0,32,3.0243269065977074e-05,2.388734901614953e-05,41863.163606975795,0.7898401777942121,0.024460645392537117
spectrum_muP_s2,muP,2,256,64,0.25,1.0,1,0.06313886493444443,0.08543682098388672,11.704555348432251,1.353157378939164,0.08543682098388672
spectrum_muP_s2,muP,2,256,64,0.25,1.0,2,0.01773081161081791,0.017035070806741714,58.70242697225802,0.9607609161189379,0.06814028322696686
spectrum_muP_s2,muP,2,256,64,0.25,1.0,3,0.005944277625530958,0.004306099843233824,232.22870727702713,0.7244109569746403,0.038754898589104414
spectrum_muP_s2,muP,2,256,64,0.25,1.0,4,0.002317490754649043,0.0020371011923998594,490.89363048377794,0.879011572457537,0.03259361907839775
spectrum_muP_s2,muP,2,256,64,0.25,1.0,5,0.001252954127267003,0.0011379530187696218,878.7709013516397,0.9082160264332849,0.028448825469240546
spectrum_muP_s2,muP,2,256,64,0.25,1.0,6,0.0008868825971148908,0.0007483435329049826,1336.2846821407227,0.8437909767757442,0.026940367184579372
spectrum_muP_s2,muP,2,256,64,0.25,1.0,7,0.0007403559284284711,0.0005149673670530319,1941.8706193416308,0.6955672903790154,0.025233400985598564
spectrum_muP_s2,muP,2,256,64,0.25,1.0,8,0.000475417502457276,0.0003430999058764428,2914.602956376561,0.7216812677343024,0.02195839397609234
spectrum_muP_s2,muP,2,256,64,0.25,1.0,9,0.0003667393757496029,0.00032048224238678813,3120.297688110613,0.8738691931613104,0.02595906163332984
spectrum_muP_s2,muP,2,256,64,0.25,1.0,10,0.00028256623772904277,0.00021699428907595575,4608.416213432992,0.7679413181840747,0.021699428907595575
spectrum_muP_s2,muP,2,256,64,0.25,1.0,11,0.00027346520801074803,0.00018251694564241916,5478.943319373562,0.6674229126626071,0.02208455042273272
spectrum_muP_s2,muP,2,256,64,0.25,1.0,12,0.00025534327141940594,0.0002012691693380475,4968.470845728095,0.7882297748408622,0.02898276038467884
spectrum_muP_s2,muP,2,256,64,0.25,1.0,13,0.0001818852178985253,0.00016833476547617465,5940.5435185730275,0.92549997971847,0.028448575365473516
spectrum_muP_s2,muP,2,256,64,0.25,1.0,14,0.0001504997198935598,0.00014010665472596884,7137.41971754215,0.9309429600603814,0.027460904326289892
spectrum_muP_s2,muP,2,256,64,0.25,1.0,15,0.00011126429308205843,0.0001603208074811846,6237.493533815696,1.440900787128055,0.036072181683266535
spectrum_muP_s2,muP,2,256,64,0.25,1.0,16,0.00011595752584980801,0.00010933290468528867,9146.37732234837,0.9428702784405751,0.0279892235994339
spectrum_muP_s2,muP,2,256,64,0.25,1.0,17,0.00010489945998415351,8.410214650211856e-05,11890.302942206234,0.8017405095776787,0.024305520339112263
spectrum_muP_s2,muP,2,256,64,0.25,1.0,18,7.863774226279929e-05,7.940248906379566e-05,12594.06363441017,1.0097249333334197,0.025726406456669793
spectrum_muP_s2,muP,2,256,64,0.25,1.0,19,9.352500637760386e-05,6.168839172460139e-05,16210.505283787437,0.6595924888316684,0.0222695094125811
spectrum_muP_s2,muP,2,256,64,0.25,1.0,20,7.884832302806899e-05,6.253817264223471e-05,15990.23376843373,0.793145246982259,0.025015269056893885
spectrum_muP_s2,muP,2,256,64,0.25,1.0,21,6.562329508597031e-05,6.57607670291327e-05,15206.6352808353,1.0020948649863175,0.029000498259847518
spectrum_muP_s2,muP,2,256,64,0.25,1.0,22,6.456707342294976e-05,4.964946492691524e-05,20141.203968099453,0.7689595066774051,0.024030341024626978
spectrum_muP_s2,muP,2,256,64,0.25,1.0,23,5.5329815950244665e-05,4.90723796247039e-05,20378.06211249194,0.8869066123196983,0.025959288821468363
spectrum_muP_s2,muP,2,256,64,0.25,1.0,24,5.165526454220526e-05,3.8325568311847746e-05,26092.24191701981,0.741948931082012,0.022075527347624302
spectrum_muP_s2,muP,2,256,64,0.25,1.0,25,4.098537829122506e-05,3.973983621108346e-05,25163.666872917296,0.9696100870097795,0.02483739763192716
spectrum_muP_s2,muP,2,256,64,0.25,1.0,26,3.608215774875134e-05,3.29424328811001e-05,30355.985048503353,0.9129840047395754,0.02226908462762367
spectrum_muP_s2,muP,2,256,64,0.25,1.0,27,4.517746492638253e-05,2.9991149858688004e-05,33343.16972546201,0.663851986993053,0.021863548246983555
spectrum_muP_s2,muP,2,256,64,0.25,1.0,28,3.659192589111626e-05,3.801556522375904e-05,26305.014646343287,1.0389058323106302,0.029804203135427088
spectrum_muP_s2,muP,2,256,64,0.25,1.0,29,3.445658876444213e-05,2.5035127691808157e-05,39943.87455539977,0.7265701158915487,0.02105454238881066
spectrum_muP_s2,muP,2,256,64,0.25,1.0,30,3.8655056414427236e-05,2.426681385259144e-05,41208.54126439885,0.627778513434903,0.021840132467332296
spectrum_muP_s2,muP,2,256,64,0.25,1.0,31,3.320258474559523e-05,2.514522202545777e-05,39768.98668810998,0.7573272447951095,0.024164558366464917
spectrum_muP_s2,muP,2,256,64,0.25,1.0,32,2.7262774892733432e-05,2.336508441658225e-05,42798.903790405224,0.8570325107592013,0.023925846442580223
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,1,0.08051887899637222,0.08048077672719955,12.425327396996115,0.9995267908638621,0.08048077672719955
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,2,0.0198840145021677,0.01987815834581852,50.30647118325001,0.9997054842044828,0.07951263338327408
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,3,0.005962785799056292,0.005962006747722626,167.72876018330257,0.9998693477579239,0.05365806072950363
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,4,0.0024430237244814634,0.002447462407872081,408.5864595033511,1.0018168810012515,0.03915939852595329
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,5,0.001418853411450982,0.0014193934621289372,704.5262830083124,1.0003806247168288,0.03548483655322343
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,6,0.0008698230376467109,0.0008731607813388109,1145.2644477076803,1.0038372675218286,0.03143378812819719
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,7,0.0006652511656284332,0.0006608149269595742,1513.2830073936505,0.9933314830577286,0.03237993142101914
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,8,0.000501354516018182,0.000499366840813309,2002.5358479375996,0.9960353898461722,0.03195947781205177
