source_file,benchmark,suite,tag,d,K,m,R,M,z_mse_exact,z_mse_primal_jacobi,z_mse_dual_diag,u_mse_exact,u_rel_exact,u_mse_primal_jacobi,u_rel_primal_jacobi,u_mse_dual_diag,u_rel_dual_diag,A_rel_exact,A_rel_primal_jacobi,A_rel_dual_diag,step,solver,u_mse,u_rel,z_mse_true_basis,A_rel,A0_rel,Abasis_rel_raw,loss,loss_u,loss_prompt,loss_z,loss_A,z_scale,attn_entropy_last,score_corr_linear_kernel_last
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,64.0,8.0,16.0,32.0,512.0,2.6812649878138473e-09,2.804380727639e-09,5.110286860343649e-09,2.12106748831431e-10,2.5540344722685404e-05,2.1919208115228628e-10,2.593417411844712e-05,3.8297831572720037e-10,3.425197064643726e-05,1.761776911735069e-05,1.7967862731893547e-05,2.429469532216899e-05,,,,,,,,,,,,,,,,
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,64.0,8.0,32.0,32.0,1024.0,6.330782564845093e-10,6.385287298904531e-10,1.1945447964123446e-09,6.034374389063402e-11,1.3769546058028936e-05,6.097022192674828e-11,1.3816090358886868e-05,1.0300955227693363e-10,1.792221337382216e-05,8.597860869485885e-06,8.630141564935911e-06,1.179975333798211e-05,,,,,,,,,,,,,,,,
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,64.0,16.0,4.0,32.0,128.0,4.951556320520467e-08,1.5221759895212015e-05,1.082710878108628e-05,1.0873717926074278e-08,0.000170287414221,1.9881945263477974e-06,0.0019037642050534,1.32131390273571e-06,0.0016231727786362,0.0001046938195941,0.0015134660061448,0.0012886499753221,,,,,,,,,,,,,,,,
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,64.0,16.0,8.0,32.0,256.0,9.13280473469058e-09,3.334423297474132e-07,2.092369015826989e-07,2.3364234991163357e-09,7.948435086291283e-05,4.849183810051728e-08,0.0002780336653813,3.021009575832068e-08,0.0002355823380639,4.536240885499865e-05,0.0002082328428514,0.0001709032221697,,,,,,,,,,,,,,,,
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,64.0,16.0,16.0,32.0,512.0,2.000305032723304e-09,8.505884885323667e-09,6.766052162987535e-09,5.538347558342592e-10,3.954282874474302e-05,1.6171608496762244e-09,5.917964153923094e-05,1.4221853694706963e-09,5.926811718381941e-05,2.14278552448377e-05,3.768468741327524e-05,3.604694938985631e-05,,,,,,,,,,,,,,,,
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,64.0,16.0,32.0,32.0,1024.0,4.669014064262456e-10,1.896495627207173e-09,1.095791457572659e-09,1.8017778935508488e-10,2.148517705791164e-05,5.207242415039558e-10,2.6896192139247432e-05,3.1325436689044745e-10,2.7271871658740565e-05,1.034239903674461e-05,1.502507620898541e-05,1.4580391507479362e-05,,,,,,,,,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,1.0,exact,0.0107172103598713,0.1802731603384018,0.4786749482154846,0.1690547168254852,0.0008484021632913,1.0469313859939575,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,250.0,exact,4.394113602756988e-06,0.003884628880769,3.140634536743164,0.004250394180417,0.0071056749478622,1.078899621963501,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,500.0,exact,3.626666256195677e-08,0.0003576768212951,3.198936939239502,0.0004365826025605,0.006420144591299,1.0783183574676514,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,750.0,exact,2.4359401606943724e-08,0.0002648540539667,3.413067102432251,0.0002234608109574,0.0064322637860868,1.078325867652893,,,,,,,,
