seed,policy,scenario,z_scale,controller,hb_or_polynomial_depth,pcg_depth,examples,u_mse,u_mse_ci95_halfwidth,solver_u_mse,u_mse_over_pcg,jury_margin_min
2,spectral_prediction,ood,1.0,richardson_same_step,40,16,4096,2.1677370671857225e-09,9.456358407206507e-11,2.4868638872307854e-11,1.0139843013470047,0.6870473623275757
2,spectral_prediction,ood,1.0,oracle_richardson,40,16,4096,2.1391667427906507e-09,6.980014510770183e-11,9.240739110916757e-13,1.000620198818369,0.6870473623275757
2,spectral_prediction,ood,1.0,oracle_chebyshev,40,16,4096,2.1374564746805204e-09,6.95567695472855e-11,1.461067054987338e-13,0.9998202009583802,0.6870473623275757
2,spectral_prediction,ood,1.0,pcg,40,16,4096,2.13784085641764e-09,6.957198960925648e-11,1.506395672784556e-13,1.0,0.6870473623275757
mean,spectral_prediction,ood,1.0,exact,40,16,12288,2.2119272694598704e-09,NA,0.0,0.9999617995171782,0.20417237281799316
mean,spectral_prediction,ood,1.0,learned_hb,40,16,12288,2.2123922633858254e-09,NA,2.9206343461122043e-13,1.0001720126509384,0.20417237281799316
mean,spectral_prediction,ood,1.0,richardson_same_step,40,16,12288,0.040984114868323845,NA,0.04098403150518533,18527982.28097046,0.20417237281799316
mean,spectral_prediction,ood,1.0,oracle_richardson,40,16,12288,8.825756989281613e-09,NA,6.611291212672964e-09,3.9899231602033782,0.20417237281799316
mean,spectral_prediction,ood,1.0,oracle_chebyshev,40,16,12288,2.2119655787497834e-09,NA,1.4946234380070572e-13,0.9999791182721882,0.20417237281799316
mean,spectral_prediction,ood,1.0,pcg,40,16,12288,2.212011769377468e-09,NA,1.540064636647292e-13,1.0,0.20417237281799316
