run_id,seed,norm,d_model,tau,eta,q_equals_k,use_mlp,residual,data_kind,steps,R_spike,S_token_var,C_col_imbalance,gap,H_attn,H_query,spike_col_load,max_col_load
26,26000,sinkhorn,64,0.8,1.0,False,True,True,linear,60,0.8145067691802979,1.608466625213623,0.0001727113703964278,0.039283279329538345,1.3179668188095093,0.5176755785942078,1.0408390760421753,1.0519486665725708
27,27000,unbalanced_sinkhorn,8,0.1,0.05,False,True,True,linear,60,0.2783152461051941,5.421115875244141,0.17694731056690216,0.0665842741727829,2.3149757385253906,2.1904189586639404,1.1507903337478638,2.115053415298462
28,28000,unbalanced_sinkhorn,8,0.1,1.0,False,True,True,linear,60,0.3996547758579254,4.900467395782471,0.009624509140849113,0.08759218454360962,1.9010761976242065,1.8339954614639282,1.0391682386398315,1.228192925453186
29,29000,unbalanced_sinkhorn,8,0.1,5.0,False,True,True,linear,60,0.3713506758213043,4.714559078216553,0.0007243973086588085,0.09654292091727257,1.8583937883377075,1.766591191291809,1.0017849206924438,1.0578455924987793
30,30000,unbalanced_sinkhorn,8,0.3,0.05,False,True,True,linear,60,0.10018566995859146,5.006296157836914,0.15165694057941437,0.12449217215180397,3.067021608352661,3.12530779838562,0.9745185375213623,2.074146270751953
31,31000,unbalanced_sinkhorn,8,0.3,1.0,False,True,True,linear,60,0.1440616399049759,4.642433166503906,0.010141385719180107,0.16008369997143745,3.009807586669922,2.9784460067749023,1.011597752571106,1.191404938697815
32,32000,unbalanced_sinkhorn,8,0.3,5.0,False,True,True,linear,60,0.09928127378225327,5.50028657913208,0.0010839443420991302,0.1735439896583557,3.1180496215820312,3.0873420238494873,1.0067024230957031,1.0604108572006226
33,33000,unbalanced_sinkhorn,8,0.8,0.05,False,True,True,linear,60,0.08144749701023102,5.787799835205078,0.08060706406831741,0.1914970725774765,3.3021750450134277,3.3099184036254883,0.9634577631950378,1.6832081079483032
34,34000,unbalanced_sinkhorn,8,0.8,1.0,False,True,True,linear,60,0.06967688351869583,5.549164772033691,0.00911765918135643,0.29347431659698486,3.552361249923706,3.53501296043396,1.0299931764602661,1.1708123683929443
35,35000,unbalanced_sinkhorn,8,0.8,5.0,False,True,True,linear,60,0.0946459099650383,5.623817443847656,0.0016629948513582349,0.21209868788719177,3.3118977546691895,3.292633056640625,1.0078238248825073,1.0841604471206665
36,36000,unbalanced_sinkhorn,32,0.1,0.05,False,True,True,linear,60,0.973999559879303,1.6946752071380615,0.35080695152282715,0.0051591768860816956,0.9001024961471558,0.10537659376859665,1.304125428199768,2.7050704956054688
37,37000,unbalanced_sinkhorn,32,0.1,1.0,False,True,True,linear,60,0.9474117755889893,1.5269426107406616,0.03273262083530426,0.020844563841819763,0.9853992462158203,0.2113923579454422,1.0452691316604614,1.5038529634475708
38,38000,unbalanced_sinkhorn,32,0.1,5.0,False,True,True,linear,60,0.926098108291626,1.5517656803131104,0.003011849010363221,0.028165068477392197,1.0385451316833496,0.2505350708961487,1.0573232173919678,1.1508256196975708
39,39000,unbalanced_sinkhorn,32,0.3,0.05,False,True,True,linear,60,0.9234997630119324,1.831066608428955,0.32121700048446655,0.016013361513614655,1.2929178476333618,0.2987082898616791,1.4759896993637085,2.5659773349761963
40,40000,unbalanced_sinkhorn,32,0.3,1.0,False,True,True,linear,60,0.8414991497993469,1.9663140773773193,0.06706182658672333,0.04082953557372093,1.2899513244628906,0.53764408826828,1.0933725833892822,1.6419082880020142
41,41000,unbalanced_sinkhorn,32,0.3,5.0,False,True,True,linear,60,0.8128259778022766,1.989576816558838,0.0054155681282281876,0.0563049279153347,1.4003515243530273,0.6432307958602905,1.0369068384170532,1.1749392747879028
42,42000,unbalanced_sinkhorn,32,0.8,0.05,False,True,True,linear,60,0.7293775677680969,2.7760627269744873,0.24823415279388428,0.033450596034526825,1.549069881439209,0.908841609954834,1.4107251167297363,2.2684504985809326
43,43000,unbalanced_sinkhorn,32,0.8,1.0,False,True,True,linear,60,0.6847842335700989,2.7412772178649902,0.09517860412597656,0.049121830612421036,1.4928032159805298,0.9680501818656921,1.1747440099716187,1.7707433700561523
44,44000,unbalanced_sinkhorn,32,0.8,5.0,False,True,True,linear,60,0.7028778195381165,2.540135383605957,0.01073415856808424,0.11216612905263901,1.823165774345398,1.0824122428894043,1.0664125680923462,1.2376002073287964
45,45000,unbalanced_sinkhorn,64,0.1,0.05,False,True,True,linear,60,0.9983219504356384,1.08218252658844,0.4639219343662262,0.0003929995000362396,0.6838755011558533,0.010287926532328129,1.1903256177902222,3.0704758167266846
46,46000,unbalanced_sinkhorn,64,0.1,1.0,False,True,True,linear,60,0.9772553443908691,1.0388799905776978,0.06098810210824013,0.005048561841249466,0.780728280544281,0.0833914503455162,1.0813612937927246,1.7017923593521118
47,47000,unbalanced_sinkhorn,64,0.1,5.0,False,True,True,linear,60,0.9879224300384521,1.0323437452316284,0.00637595821171999,0.0007058195769786835,0.8547348976135254,0.04494937136769295,1.081831932067871,1.2363892793655396
48,48000,unbalanced_sinkhorn,64,0.3,0.05,False,True,True,linear,60,0.9862322807312012,1.2780718803405762,0.41038748621940613,0.0026995614171028137,0.9694146513938904,0.059240590780973434,1.463218092918396,2.8172645568847656
49,49000,unbalanced_sinkhorn,64,0.3,1.0,False,True,True,linear,60,0.9636045098304749,1.1706526279449463,0.089454784989357,0.013097811490297318,1.0820947885513306,0.1424320787191391,1.0542302131652832,1.8288086652755737
50,50000,unbalanced_sinkhorn,64,0.3,5.0,False,True,True,linear,60,0.9521469473838806,1.2454954385757446,0.009484482929110527,0.01926768571138382,1.1406235694885254,0.17001599073410034,1.040977954864502,1.2557734251022339
51,51000,unbalanced_sinkhorn,64,0.8,0.05,False,True,True,linear,60,0.9699377417564392,1.660279631614685,0.3966297507286072,0.00496542826294899,1.120524525642395,0.12866322696208954,1.5619250535964966,2.7552623748779297
52,52000,unbalanced_sinkhorn,64,0.8,1.0,False,True,True,linear,60,0.9321979880332947,1.5823545455932617,0.17815962433815002,0.02013431489467621,1.1339976787567139,0.2721697986125946,1.215331792831421,2.169408082962036
53,53000,unbalanced_sinkhorn,64,0.8,5.0,False,True,True,linear,60,0.9008901715278625,1.5754491090774536,0.02912864275276661,0.040541015565395355,1.2937601804733276,0.37267234921455383,1.0639023780822754,1.4519482851028442
